INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 294.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 305.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 316.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 327.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 337.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 348.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 359.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 370.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 381.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 392.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 403.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 414.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 424.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 435.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 446.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 457.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 468.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 479.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 490.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 501.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 511.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 522.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 533.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 544.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 555.0, Max count: 1087.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 566.0, Max count: 1087.0, Progress done: 0, Message: 
